d,c,w,CA/FA ,Dmax,ratio of aggregate to binder,BFS,fly ash,Silicon,superplasticizer,age,w/b,fc
150,350,140,1.23,16,5.52,0,0,0,8.54,3,0.4,41
100,275,190,1.93,31.5,2.92,20,30,0,10.9,28,0.35,49.5
100,340,175,1.39,31.5,5.48,0,0,0,5.8,90,0.51,43.4
200,147.48,108,3,40,10.02,30,0,0,2.53,28,0.51,29.25
150,245,230,1.52,19,4.91,30,0,0,0,365,0.66,46.9
100,215,173,1.72,31.5,5.05,0,40,0,5.7,60,0.48,34.6
150,210,240,1.52,19,3.87,50,0,0,0,180,0.57,50.5
150,360,120,1.23,16,4.86,0,0,10,22.76,180,0.3,92.1
100,270,178,2.04,31.5,3.79,0,40,0,7.6,180,0.4,59.3
150,210,261,1.52,19,2.69,61,0,0,0,7,0.48,22.2
100,194,162,2,20,6.01,40,0,0,0,28,0.5,45.8522
100,325,170,1.64,31.5,4.45,10,10,0,8.1,90,0.42,56.7
150,280,105,1.44,16,5.79,20,0,0,11.55,90,0.3,86.8
150,360,180,1.44,16,3.87,20,0,0,3.6,360,0.4,86.6
150,315,175,1.23,16,5.25,0,0,10,2.85,28,0.5,61.8
250,73.21,108,2.7,80,11.69,60,0,0,2.2,28,0.59,20.19
150,486,214,2.57,16,2.69,0,15,0,5.94,28,0.37,53.1
100,427,190,1.5,25,3.5,0,0,15,2,28,0.38,73
100,129,161,2,20,6,60,0,0,0,1,0.5,2.87474
100,200,120,2,10,4.5,0,50,0,0,3,0.3,36.9
100,250,170,1.7,31.5,5.73,18,3,0,6.8,90,0.54,54.2
150,382.5,225,1.23,16,3.6,0,0,15,2.2,500,0.5,59.5
100,200,132,2,10,4.5,0,50,0,5.6,1,0.33,5.62
150,400,200,1.44,16,4.34,0,0,0,0.4,90,0.5,56.8
150,280,263,1.52,19,2.56,50,0,0,0,14,0.47,38.1
200,380,190,1.5,20,4.82,0,0,0,1.9,28,0.5,33.2
150,405,225,1.23,16,3.6,0,0,10,2.2,180,0.5,60.3
150,245,263,1.52,19,2.56,56,0,0,0,14,0.47,32.4
100,360,172,1.69,31.5,4.86,0,0,0,8,7,0.48,47.4
150,320,240,1.23,16,4.06,0,0,20,1.63,180,0.6,50.5
100,205,193,1.48,31.5,7.35,0,20,0,4,90,0.76,26.9
150,280,231,1.52,19,5.08,18,0,0,0,365,0.68,41.1
100,150,178,1.52,31.5,6.19,20,30,0,5,28,0.59,25.7
150,315,175,1.23,16,5.25,0,0,10,2.85,500,0.5,65.9
200,417,200,1.63,20,4.28,0,0,0,0,28,0.48,31.18
150,237,197.5,1.5,20,4.57,40,0,0,0,14,0.5,33.5526
100,406,180,1.86,25,4.47,0,0,0,0,28,0.44,27.2
150,270,135,1.44,16,4.11,40,0,0,11.7,90,0.3,91.4
150,360,270,1.23,16,3.34,0,0,20,1.1,7,0.6,42.1
150,400,240,1.23,16,4.06,0,0,0,1.63,28,0.6,41.6
150,70,140,1.44,16,5.46,80,0,0,2.8,90,0.4,58.9
150,147.48,108,3,40,10.02,30,0,0,2.53,28,0.51,30.73
